clade_name	C1-1_FDME210249711-1r	C2-1_FDME210249713-1r	C3-1_FDME210249715-1r	C4-1_FDME210249717-1r	C5-1_FDME210249719-1r	C6-1_FDME210249721-1r	H1-1_FDME210249735-1r	H2-1_FDME210249737-1r	H3-1_FDME210249739-1r	H4-1_FDME210249741-1r	T1-1_FDME210249723-1r	T2-1_FDME210249725-1r	T3-1_FDME210249727-1r	T4-1_FDME210249729-1r	T5-1_FDME210249731-1r	T6-1_FDME210249733-1r
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	69.65661	77.34347	21.49458	70.33022	85.60378	74.61197	0.00384	0.0	0.0	0.00233	29.5887	15.53926	68.94401	65.13471	53.09538	43.79888
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	14.2653	3.63857	8.36276	10.10434	0.15623	20.6865	1.28322	0.0	0.0	1.88928	42.2984	76.27116	17.56055	23.64492	35.70301	30.47206
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera	4.68318	0.17082	32.77576	0.0	0.0	0.0	0.01467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	2.77879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58501	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	2.11317	3.84742	0.0	5.13331	0.0	0.53784	0.0	0.0	0.0	0.0	0.54484	0.31897	0.28985	1.72462	3.48975	9.36891
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	2.08495	11.3463	1.79302	6.74988	10.55539	0.91916	0.31519	0.16077	0.03953	0.08763	21.18342	3.06817	8.29098	4.81779	2.87251	1.80515
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	1.42521	0.19238	0.0	0.1648	0.0	0.37181	0.16686	0.11051	1.30178	0.38968	1.31887	0.38462	0.37744	0.94078	1.11984	0.52794
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella	0.52106	0.24701	0.0	1.36585	0.14825	0.14776	0.0	0.0	0.0	0.0	0.0	0.38886	0.17947	0.27276	0.37616	0.00276
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified	0.49106	0.24315	0.19807	0.0	0.04848	0.0	0.00079	0.0	0.24478	0.0783	0.0	0.02811	0.0	0.0	0.02919	0.11445
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.4872	0.70246	0.0	2.74825	0.32776	0.35036	0.46549	0.01957	0.0	0.35791	0.0	0.0	0.61625	0.1269	0.04334	0.0
