ID	C1-1_FDME210249711-1r	C2-1_FDME210249713-1r	C3-1_FDME210249715-1r	C4-1_FDME210249717-1r	C5-1_FDME210249719-1r	C6-1_FDME210249721-1r	H1-1_FDME210249735-1r	H2-1_FDME210249737-1r	H3-1_FDME210249739-1r	H4-1_FDME210249741-1r	T1-1_FDME210249723-1r	T2-1_FDME210249725-1r	T3-1_FDME210249727-1r	T4-1_FDME210249729-1r	T5-1_FDME210249731-1r	T6-1_FDME210249733-1r
d__Archaea	2454	1433	375	334	3163	26	1	0.0	0.0	7339	9599	33	246	12167	24173	27095
d__Archaea|p__Candidatus Thermoplasmatota	26	0.0	0.0	9	2	0.0	0.0	0.0	0.0	0.0	19	3	15	1	52	4
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata	26	0.0	0.0	9	2	0.0	0.0	0.0	0.0	0.0	19	3	15	1	52	4
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	23	0.0	0.0	6	2	0.0	0.0	0.0	0.0	0.0	16	2	13	1	51	2
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus Methanomethylophilaceae	18	0.0	0.0	3	2	0.0	0.0	0.0	0.0	0.0	4	0.0	12	1	1	0.0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus Methanomethylophilaceae|g__Candidatus Methanomethylophilus	18	0.0	0.0	3	2	0.0	0.0	0.0	0.0	0.0	4	0.0	12	1	1	0.0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus Methanomethylophilaceae|g__Candidatus Methanomethylophilus|s__Candidatus Methanomethylophilus alvus	18	0.0	0.0	3	2	0.0	0.0	0.0	0.0	0.0	4	0.0	9	1	1	0.0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|g__Candidatus Methanarcanum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	47	0.0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|g__Candidatus Methanarcanum|s__Candidatus Methanarcanum hacksteinii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	47	0.0
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|s__Methanomassiliicoccales archaeon Mx-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
d__Archaea|p__Euryarchaeota	1895	1227	317	216	2695	13	1	0.0	0.0	7173	8326	6	18	10730	21252	23702
d__Archaea|p__Euryarchaeota|c__Halobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	1	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Euryarchaeota|c__Methanobacteria	1706	1111	293	198	2431	10	1	0.0	0.0	7041	7490	5	14	9807	19267	21433
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	1706	1111	293	198	2431	10	1	0.0	0.0	7041	7490	5	14	9807	19267	21433
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	1457	981	266	178	2092	9	1	0.0	0.0	6816	6484	4	13	8547	16774	18516
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	1116	760	205	149	1647	8	1	0.0	0.0	6268	4942	4	9	6555	12971	14127
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter arboriphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	0.0	0.0
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter gottschalkii	5	1	2	0.0	7	0.0	0.0	0.0	0.0	0.0	28	0.0	0.0	33	10	70
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter millerae	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	5	0.0
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter oralis	0.0	0.0	0.0	0.0	2	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	0.0
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter smithii	2	3	0.0	3	7	0.0	0.0	0.0	0.0	157	2	0.0	0.0	6	40	173
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter smithii CAG:186	0.0	2	0.0	0.0	1	0.0	0.0	0.0	0.0	3	0.0	0.0	0.0	0.0	4	136
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter sp. TLL-48-HuF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter sp. YE315	15	3	5	0.0	11	0.0	0.0	0.0	0.0	0.0	80	0.0	0.0	64	72	39
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter thaueri	3	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.0	0.0	5	0.0	0.0
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter wolinii	2	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	4	0.0	0.0	4	4	15
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera stadtmanae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea|p__Euryarchaeota|c__Methanomicrobia	3	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	4	1	4	0.0	1	1
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	3	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	4	1	4	0.0	1	1
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae	3	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	4	0.0	4	0.0	1	1
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus	3	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0	4	0.0	1	0.0
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus sp. CAG:1088	3	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0	4	0.0	1	0.0
