ID	C1-1_FDME210249711-1r	C2-1_FDME210249713-1r	C3-1_FDME210249715-1r	C4-1_FDME210249717-1r	C5-1_FDME210249719-1r	C6-1_FDME210249721-1r	H1-1_FDME210249735-1r	H2-1_FDME210249737-1r	H3-1_FDME210249739-1r	H4-1_FDME210249741-1r	T1-1_FDME210249723-1r	T2-1_FDME210249725-1r	T3-1_FDME210249727-1r	T4-1_FDME210249729-1r	T5-1_FDME210249731-1r	T6-1_FDME210249733-1r
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales	22	22	6	98	25	21	9612	583	590	295	66	34	37	55	17	12
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	911	207	882	746	5123	436	12259	2277	131	5034	1923	3703	612	311	215	82
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales	1	0.0	22	0.0	0.0	0.0	1	0.0	0.0	0.0	1	0.0	1	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kineosporiales	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	1
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales	0.0	2	3	2	2	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	83	65	207	70	41	23	497	67	39	59	58	52	58	80	22	15
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales	0.0	1	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	127	60	125	75	90	46	154	57	98	62	41	37	70	103	12	13
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	4	7	34	8	6	4	141	16	28	68	5	1	5	12	0.0	2
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	0.0	1	111	2	0.0	5	0.0	0.0	1	0.0	3	3	1	2	0.0	0.0
