ID	C1-1_FDME210249711-1r	C2-1_FDME210249713-1r	C3-1_FDME210249715-1r	C4-1_FDME210249717-1r	C5-1_FDME210249719-1r	C6-1_FDME210249721-1r	H1-1_FDME210249735-1r	H2-1_FDME210249737-1r	H3-1_FDME210249739-1r	H4-1_FDME210249741-1r	T1-1_FDME210249723-1r	T2-1_FDME210249725-1r	T3-1_FDME210249727-1r	T4-1_FDME210249729-1r	T5-1_FDME210249731-1r	T6-1_FDME210249733-1r
d__Bacteria|p__Acidobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota	18333	9903	2024	34691	19875	9673	65503	14052	65868	59851	3454	7922	11315	4364	1705	1279
d__Bacteria|p__Armatimonadota	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacillota	2024260	1035527	213716	1720822	3367564	2095446	9902198	1782688	3908053	5094878	582774	1221316	1877240	1395967	808896	676006
d__Bacteria|p__Bacteroidota	2485181	316097	78201	1086091	77080	2226042	706152	7840460	5468652	4273395	1401828	5508120	2767805	1609963	1726436	1019170
d__Bacteria|p__Campylobacterota	5840	688	255	6603	790	8902	1833	97	349	280	5059	8718	4377	18218	39694	1646
d__Bacteria|p__Candidatus Dadabacteria	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Candidatus Hydrogenedentes	0.0	0.0	1	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
d__Bacteria|p__Candidatus Melainabacteria	124	218	6	105	696	208	3	0.0	42	10	278	207	944	18022	254	106
d__Bacteria|p__Candidatus Saccharibacteria	0.0	0.0	1	5	12	6	5443	84	96	70	8	3	2	7	6	4
d__Bacteria|p__Chlamydiota	34	107	12	5269	17983	8141	49	360	149	186	7663	478	946	576	2740	37977
d__Bacteria|p__Chloroflexota	1	5	12	2	3	2	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	40
d__Bacteria|p__Cyanobacteriota	0.0	0.0	1	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Deferribacterota	0.0	0.0	0.0	16	2	0.0	0.0	0.0	0.0	0.0	1	3	0.0	0.0	0.0	0.0
d__Bacteria|p__Deinococcota	0.0	1	17	1	0.0	0.0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Elusimicrobiota	11	21	2	102	1	16	0.0	0.0	0.0	0.0	169	23	4	2	443	217
d__Bacteria|p__Fibrobacterota	14941	6119	1208	64203	5535	28112	1	1	0.0	1	57990	9050	12272	116693	6662	40057
d__Bacteria|p__Fusobacteriota	23	15	5	7	4	8	1423	381	0.0	2	18	11	5	28	12	9
d__Bacteria|p__Ignavibacteriota	0.0	4	0.0	1	6	4	0.0	0.0	0.0	0.0	4	2	1	3	0.0	0.0
d__Bacteria|p__Lentisphaerota	3	3	5	6	3	1	0.0	0.0	0.0	0.0	115	10	3	12	6	59
d__Bacteria|p__Mycoplasmatota	23	0.0	0.0	88	242	31	0.0	0.0	2	0.0	38	268	4378	1581	341	30
d__Bacteria|p__Myxococcota	6	11	2	7	28	4	1	0.0	0.0	0.0	20	13	22	6	6	5
d__Bacteria|p__Planctomycetota	2	0.0	0.0	0.0	2	0.0	1	0.0	0.0	0.0	2	0.0	0.0	0.0	1	0.0
d__Bacteria|p__Pseudomonadota	82704	212629	27131	176467	789626	39604	381026	135450	164886	46499	328378	157444	298761	114214	46165	41244
d__Bacteria|p__Spirochaetota	90685	13137	1850	26854	16303	31404	12	3	8	6	32113	13083	7524	64118	40111	58467
d__Bacteria|p__Synergistota	20	189	12	23	170	5	9	0.0	587	281	8	5	16	21	100	230
d__Bacteria|p__Thermodesulfobacteriota	49217	47636	396	78487	412	16507	50093	28326	36756	488	7392	11135	7359	32063	32674	94629
d__Bacteria|p__Thermomicrobiota	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Verrucomicrobiota	2	10	37	1	6	2	2	449260	38131	18	48	11	12	12	34	19
